#Web Search interest: textbooks skiing
#Worldwide 2004 - present
#Week,textbooks,skiing
55150.0   7   21
55157.0   6   21
55164.0   9   24
55171.0   12   27
55178.0   14   29
55185.0   10   35
55192.0   15   44
55199.0   28   44
55206.0   31   40
55213.0   24   34
55220.0   19   31
55227.0   13   32
55234.0   10   38
55241.0   9   65
55248.0   9   50
55255.0   9   31
55262.0   9   22
55269.0   9   17
55276.0   8   13
55283.0   9   12
55290.0   8   10
55297.0   8   8
55304.0   8   7
55311.0   10   7
55318.0   12   7
55325.0   13   6
55332.0   14   7
55339.0   11   6
55346.0   11   6
55353.0   10   7
55360.0   9   6
55367.0   9   6
55374.0   9   6
55381.0   9   7
55388.0   10   8
55395.0   11   7
55402.0   13   8
55409.0   17   9
55416.0   22   9
55423.0   27   9
55430.0   32   9
55437.0   25   9
55444.0   17   10
55451.0   14   10
55458.0   12   10
55465.0   9   10
55472.0   8   11
55479.0   7   11
55486.0   8   13
55493.0   7   13
55500.0   7   15
55507.0   7   16
55514.0   7   18
55521.0   6   20
55528.0   9   23
55535.0   11   25
55542.0   12   26
55549.0   9   29
55556.0   13   40
55563.0   22   34
55570.0   23   34
55577.0   20   30
55584.0   15   27
55591.0   11   26
55598.0   9   25
55605.0   8   24
55612.0   7   21
55619.0   7   19
55626.0   7   16
55633.0   6   13
55640.0   7   12
55647.0   7   10
55654.0   7   9
55661.0   6   8
55668.0   7   7
55675.0   8   7
55682.0   9   6
55689.0   10   6
55696.0   10   6
55703.0   9   6
55710.0   9   6
55717.0   8   6
55724.0   8   6
55731.0   8   6
55738.0   8   6
55745.0   8   7
55752.0   8   7
55759.0   10   7
55766.0   11   7
55773.0   15   7
55780.0   18   7
55787.0   22   8
55794.0   26   8
55801.0   21   8
55808.0   16   8
55815.0   13   9
55822.0   10   9
55829.0   9   9
55836.0   7   10
55843.0   7   10
55850.0   7   11
55857.0   6   12
55864.0   6   13
55871.0   6   14
55878.0   6   15
55885.0   5   16
55892.0   7   18
55899.0   8   20
55906.0   10   20
55913.0   8   22
55920.0   9   27
55927.0   15   28
55934.0   19   27
55941.0   19   27
55948.0   15   24
55955.0   10   22
55962.0   8   21
55969.0   7   20
55976.0   7   21
55983.0   7   16
55990.0   7   15
55997.0   6   13
56004.0   6   11
56011.0   6   9
56018.0   6   9
56025.0   6   7
56032.0   6   7
56039.0   6   6
56046.0   8   6
56053.0   9   6
56060.0   8   6
56067.0   7   5
56074.0   7   6
56081.0   7   5
56088.0   6   6
56095.0   7   6
56102.0   7   6
56109.0   6   6
56116.0   7   7
56123.0   8   7
56130.0   9   7
56137.0   10   7
56144.0   13   7
56151.0   17   7
56158.0   21   8
56165.0   20   8
56172.0   14   8
56179.0   11   8
56186.0   8   8
56193.0   8   9
56200.0   7   9
56207.0   6   9
56214.0   6   10
56221.0   5   10
56228.0   5   11
56235.0   5   12
56242.0   5   13
56249.0   4   13
56256.0   6   16
56263.0   7   17
56270.0   8   19
56277.0   7   20
56284.0   6   29
56291.0   11   32
56298.0   16   26
56305.0   14   25
56312.0   11   24
56319.0   9   21
56326.0   7   22
56333.0   6   23
56340.0   6   21
56347.0   6   19
56354.0   5   16
56361.0   5   14
56368.0   5   13
56375.0   5   11
56382.0   5   9
56389.0   5   7
56396.0   5   6
56403.0   6   6
56410.0   7   5
56417.0   7   5
56424.0   7   5
56431.0   7   5
56438.0   6   5
56445.0   6   5
56452.0   6   5
56459.0   6   5
56466.0   6   5
56473.0   5   5
56480.0   6   6
56487.0   6   6
56494.0   7   6
56501.0   9   7
56508.0   11   7
56515.0   14   7
56522.0   17   7
56529.0   18   7
56536.0   13   7
56543.0   10   7
56550.0   7   7
56557.0   7   7
56564.0   6   8
56571.0   5   9
56578.0   5   9
56585.0   5   10
56592.0   4   10
56599.0   4   12
56606.0   4   13
56613.0   5   14
56620.0   4   15
56627.0   6   17
56634.0   7   19
56641.0   7   21
56648.0   5   26
56655.0   9   37
56662.0   14   28
56669.0   14   25
56676.0   10   24
56683.0   8   24
56690.0   6   31
56697.0   5   57
56704.0   5   43
56711.0   6   23
56718.0   6   18
56725.0   5   14
56732.0   5   11
56739.0   5   10
56746.0   5   8
56753.0   5   7
56760.0   4   6
56767.0   5   6
56774.0   6   5
56781.0   6   5
56788.0   7   5
56795.0   6   5
56802.0   5   5
56809.0   5   5
56816.0   5   5
56823.0   5   5
56830.0   5   5
56837.0   5   5
56844.0   5   6
56851.0   5   6
56858.0   6   6
56865.0   8   6
56872.0   9   6
56879.0   11   7
56886.0   15   6
56893.0   16   7
56900.0   12   7
56907.0   9   7
56914.0   7   7
56921.0   6   7
56928.0   5   8
56935.0   5   8
56942.0   5   9
56949.0   4   9
56956.0   4   9
56963.0   4   11
56970.0   4   12
56977.0   4   14
56984.0   4   13
56991.0   5   16
56998.0   6   16
57005.0   6   17
57012.0   4   22
57019.0   7   27
57026.0   11   25
57033.0   12   24
57040.0   10   23
57047.0   7   21
57054.0   6   22
57061.0   5   22
57068.0   5   20
57075.0   5   18
57082.0   5   16
57089.0   4   13
57096.0   4   11
57103.0   4   10
57110.0   4   10
57117.0   4   8
57124.0   4   7
57131.0   4   6
57138.0   5   5
57145.0   6   5
57152.0   6   5
57159.0   6   5
57166.0   5   5
57173.0   6   5
57180.0   5   5
57187.0   5   5
57194.0   5   5
57201.0   4   5
57208.0   5   6
57215.0   5   6
57222.0   6   6
57229.0   6   6
57236.0   7   6
57243.0   9   6
57250.0   12   6
57257.0   14   6
57264.0   13   7
57271.0   9   7
57278.0   7   7
57285.0   6   7
57292.0   5   7
57299.0   5   8
57306.0   5   8
57313.0   4   9
57320.0   4   9
57327.0   4   11
57334.0   4   11
57341.0   4   12
57348.0   3   14
57355.0   4   15
57362.0   5   15
57369.0   6   18
57376.0   4   22
57383.0   6   27
57390.0   10   26
57397.0   11   25
57404.0   10   25
57411.0   7   24
57418.0   6   21
57425.0   5   20
57432.0   5   20
57439.0   5   17
57446.0   5   15
57453.0   4   14
57460.0   4   11
57467.0   4   11
57474.0   4   9
57481.0   4   8
57488.0   4   7
57495.0   4   6
57502.0   4   6
57509.0   5   5
57516.0   6   5
57523.0   5   5
57530.0   5   6
57537.0   4   5
57544.0   5   5
57551.0   4   6
